,state,id,variable,value
114,Georgia,13,hurricanes,20
115,Hawaii,15,hurricanes,0
116,Idaho,16,hurricanes,0
117,Illinois,17,hurricanes,0
118,Indiana,18,hurricanes,0
119,Iowa,19,hurricanes,0
120,Kansas,20,hurricanes,0
121,Kentucky,21,hurricanes,0
122,Louisiana,22,hurricanes,49
123,Maine,23,hurricanes,6
124,Maryland,24,hurricanes,2
125,Massachusetts,25,hurricanes,10
126,Michigan,26,hurricanes,0
127,Minnesota,27,hurricanes,0
128,Mississippi,28,hurricanes,15
129,Missouri,29,hurricanes,0
130,Montana,30,hurricanes,0
131,Nebraska,31,hurricanes,0
132,Nevada,32,hurricanes,0
133,New Hampshire,33,hurricanes,2
134,New Jersey,34,hurricanes,2
135,New Mexico,35,hurricanes,0
136,New York,36,hurricanes,12
137,North Carolina,37,hurricanes,46
138,North Dakota,38,hurricanes,0
139,Ohio,39,hurricanes,0
140,Oklahoma,40,hurricanes,0
141,Oregon,41,hurricanes,0
142,Pennsylvania,42,hurricanes,1
143,Rhode Island,44,hurricanes,9
144,South Carolina,45,hurricanes,31
145,South Dakota,46,hurricanes,0
146,Tennessee,47,hurricanes,0
147,Texas,48,hurricanes,59
148,Utah,49,hurricanes,0
149,Vermont,50,hurricanes,0
150,Virginia,51,hurricanes,12
151,Washington,53,hurricanes,0
152,West Virginia,54,hurricanes,0
153,Wisconsin,55,hurricanes,0
154,Wyoming,56,hurricanes,0
155,Puerto Rico,72,hurricanes,0
