"Date received",Product,Sub-product,Company,State,"ZIP code","Consumer consent provided?","Submitted via","Company response to consumer","Timely response?","Consumer disputed?"
2016-10-14,Mortgage,"Conventional adjustable mortgage (ARM)","M&T Bank Corporation",CA,95685,,Phone,"Closed with explanation",1,0
2016-08-22,"Debt collection","Payday loan","Critical Resolution Mediation LLC",OK,73130,Other,Web,Closed,0,0
2014-11-26,Mortgage,"FHA mortgage","Ditech Financial LLC",MO,64151,,Web,"Closed with explanation",1,1
2014-11-05,"Bank account or service","Checking account","Wells Fargo & Company",PA,19143,,Referral,"Closed with monetary relief",1,0
2015-05-07,"Credit reporting",,"TransUnion Intermediate Holdings, Inc.",NY,11206,,Referral,"Closed with non-monetary relief",1,0
2014-05-23,"Credit card",,Amex,KS,66221,,Web,"Closed with explanation",1,0
2016-12-03,"Bank account or service","Checking account","Bank of America",TX,773XX,"Consent provided",Web,"Closed with explanation",1,1
2014-12-22,"Debt collection",Medical,"California Recovery Bureau, Inc.",CA,92563,,Web,Closed,0,0
2016-06-30,"Bank account or service","Other bank product/service","First National Bank of Omaha",CA,95118,"Consent not provided",Web,"Closed with explanation",1,0
2015-09-25,"Credit reporting",,Equifax,AL,35405,"Consent not provided",Web,"Closed with explanation",1,0
2016-08-03,"Credit card",,"SunTrust Banks, Inc.",TX,78232,,Referral,"Closed with explanation",1,0
2016-08-02,Mortgage,"VA mortgage","BB&T Financial",MO,63069,,Referral,"Closed with explanation",1,0
2013-03-28,Mortgage,"Other mortgage","Bank of America",FL,32837,,Referral,"Closed with explanation",1,0
2015-01-16,"Debt collection","Other (i.e. phone, health club, etc.)","Western-Shamrock Corporation",TX,79036,,Web,"Closed with explanation",1,0
2015-07-20,"Credit reporting",,Experian,PA,19136,"Consent not provided",Web,"Closed with non-monetary relief",1,0
2015-11-29,"Bank account or service","Checking account",Citibank,CA,91740,"Consent not provided",Web,"Closed with explanation",1,1
2015-01-29,"Debt collection",Medical,"Portfolio Recovery Associates, Inc.",TX,76502,,Web,"Closed with explanation",1,0
2016-05-02,"Debt collection",Medical,"Commonwealth Financial Systems, Inc.",TX,750XX,"Consent provided",Web,"Closed with explanation",1,1
2016-06-06,Mortgage,"Conventional adjustable mortgage (ARM)","PNC Bank N.A.",CA,928XX,"Consent provided",Web,"Closed with explanation",1,0
2013-07-04,Mortgage,"Home equity loan or line of credit","First Tennessee Bank",GA,30038,,Web,"Closed with explanation",1,1
2014-03-24,"Credit reporting",,Equifax,GA,30052,,Referral,"Closed with explanation",1,0
2015-08-08,"Credit card",,"JPMorgan Chase & Co.",IL,60002,"Consent not provided",Web,"Closed with explanation",1,0
2015-10-14,Mortgage,"Conventional fixed mortgage",Ocwen,NC,282XX,"Consent provided",Web,"Closed with explanation",1,1
2013-02-08,Mortgage,"Conventional fixed mortgage","Ditech Financial LLC",FL,32953,,Phone,"Closed with explanation",1,0
2015-09-01,"Credit reporting",,"TransUnion Intermediate Holdings, Inc.",WI,532XX,"Consent provided",Web,"Closed with explanation",1,1
2014-08-19,"Debt collection","I do not know","Ditech Financial LLC",CA,95133,,Web,"Closed with explanation",1,0
2015-05-12,"Bank account or service","Other bank product/service","SunTrust Banks, Inc.",DE,19975,,Referral,"Closed with explanation",1,0
2015-12-11,"Bank account or service","Other bank product/service","Bank of America",CA,92345,,Referral,"Closed with explanation",1,0
2012-09-18,Mortgage,"Other mortgage","Bank of America",NY,10707,,Referral,"Closed with explanation",1,0
2015-09-16,"Credit reporting",,Equifax,NY,129XX,"Consent provided",Web,"Closed with explanation",1,0
2014-11-25,Mortgage,"Conventional adjustable mortgage (ARM)","Caliber Home Loans, Inc",DE,19709,,Web,"Closed with explanation",1,0
2013-06-27,Mortgage,"Other mortgage","CIT Bank National Association",CA,94930,,Referral,"Closed with explanation",1,0
2016-06-27,"Credit card",,"JPMorgan Chase & Co.",NY,11213,,Phone,"Closed with explanation",1,0
2015-02-28,Mortgage,"Conventional fixed mortgage","Bank of America",PA,19311,,Web,"Closed with non-monetary relief",1,1
2015-07-13,"Credit reporting",,"TransUnion Intermediate Holdings, Inc.",FL,33811,"Consent not provided",Web,"Closed with explanation",1,0
2014-09-04,"Credit reporting",,Experian,TX,76114,,"Postal mail","Closed with non-monetary relief",1,0
2015-08-19,Mortgage,"Other mortgage",Ocwen,NY,11580,,"Postal mail","Closed with explanation",1,1
2014-03-06,Mortgage,"Conventional adjustable mortgage (ARM)","Bank of America",MI,48238,,Web,"Closed with explanation",1,0
2015-07-09,"Debt collection","Credit card","Encore Capital Group",WA,980XX,"Consent provided",Web,"Closed with non-monetary relief",1,0
2014-12-10,Mortgage,"Conventional fixed mortgage","Bayview Loan Servicing, LLC",KY,41016,,Phone,"Closed with explanation",1,1
2013-06-22,Mortgage,"Conventional fixed mortgage","Nationstar Mortgage",PA,19063,,Web,"Closed with explanation",1,0
2015-04-01,Mortgage,"Conventional fixed mortgage","Altisource Portfolio Solutions, S.? r.l.",AZ,864XX,"Consent provided",Web,"Closed with explanation",1,0
2016-01-28,"Credit reporting",,Experian,VA,235XX,"Consent provided",Web,"Closed with non-monetary relief",1,0
2014-02-06,"Debt collection","Payday loan","Hyperion Recovery LLC",MD,21224,,Web,"Untimely response",0,
2013-05-22,Mortgage,"Other mortgage","Nationstar Mortgage",IL,60045,,Referral,"Closed with explanation",0,0
2015-10-21,"Debt collection","I do not know","Platinum Holdings Group, LLC",CA,90249,"Consent not provided",Web,"Closed with explanation",1,0
2013-05-30,"Credit reporting",,Experian,FL,33138,,Web,"Closed with explanation",1,1
2015-07-21,Mortgage,"Conventional adjustable mortgage (ARM)","Select Portfolio Servicing, Inc",CA,921XX,"Consent provided",Web,"Closed with explanation",1,1
2014-08-18,Mortgage,"Other mortgage","Nationstar Mortgage",WA,98036,,Referral,"Closed with explanation",1,0
2014-02-28,"Credit reporting",,Equifax,CO,81326,,"Postal mail","Closed with explanation",1,1
2014-07-27,"Debt collection","Credit card","Encore Capital Group",MO,63130,,Web,"Closed with explanation",1,0
2013-04-25,Mortgage,"Conventional fixed mortgage","Wells Fargo & Company",NJ,8901,,Web,"Closed with explanation",1,1
2013-06-22,Mortgage,"Conventional adjustable mortgage (ARM)","CIT Bank National Association",CA,90039,,Web,"Closed with explanation",1,1
2012-06-08,"Bank account or service","Checking account","Wells Fargo & Company",TX,79938,,Phone,"Closed with explanation",1,0
2015-03-15,"Debt collection",Medical,"ProCollect, Inc",TX,75054,,Web,"Closed with explanation",1,1
2012-03-26,Mortgage,"Conventional fixed mortgage","JPMorgan Chase & Co.",WI,54601,,Web,"Closed without relief",1,0
2016-11-16,"Credit card",,"Capital One",OH,44451,,Phone,"Closed with explanation",1,0
2016-07-27,Mortgage,"Home equity loan or line of credit","Regions Financial Corporation",AL,352XX,"Consent provided",Web,"Closed with explanation",1,0
2015-05-29,Mortgage,"Conventional fixed mortgage","Ditech Financial LLC",TN,38340,"Consent not provided",Web,"Closed with explanation",1,1
2016-10-27,"Debt collection","Credit card","Synchrony Financial",NJ,8053,,Phone,"Closed with explanation",1,1
2013-06-03,"Credit reporting",,"TransUnion Intermediate Holdings, Inc.",MA,1089,,Web,"Closed with explanation",1,0
2014-02-19,"Credit reporting",,"TransUnion Intermediate Holdings, Inc.",PA,15211,,Web,"Closed with non-monetary relief",1,1
2016-10-25,"Debt collection",Medical,"Portfolio Recovery Associates, Inc.",OK,730XX,"Consent provided",Web,"Closed with explanation",1,0
2015-01-06,Mortgage,"Conventional fixed mortgage",Ocwen,MI,48066,,Web,"Closed with explanation",1,0
2015-01-06,"Debt collection","Other (i.e. phone, health club, etc.)",ERC,TX,75080,,Web,"Closed with non-monetary relief",1,0
2016-04-21,"Credit card",,"Bank of America",MI,48212,,Referral,"Closed with explanation",1,1
2013-10-18,"Debt collection","Other (i.e. phone, health club, etc.)","Diversified Consultants, Inc.",IL,60517,,Web,"Closed with explanation",1,0
2016-07-10,"Debt collection","Other (i.e. phone, health club, etc.)","Zwicker & Associates",NY,100XX,"Consent provided",Web,"Closed with explanation",1,0
2012-09-24,Mortgage,"Conventional fixed mortgage","Nationstar Mortgage",NC,28114,,Web,"Closed with explanation",1,1
2016-07-29,Mortgage,"Conventional fixed mortgage","PennyMac Loan Services, LLC",NY,11530,Other,Web,"Closed with explanation",1,0
2015-10-08,Mortgage,"Other mortgage","Wells Fargo & Company",MI,49426,,Referral,"Closed with explanation",1,0
2014-12-16,"Debt collection","Other (i.e. phone, health club, etc.)","Convergent Resources, Inc.",TX,78209,,Web,"Closed with explanation",1,0
2015-10-24,"Debt collection","I do not know","Synchrony Financial",TX,773XX,"Consent provided",Web,"Closed with non-monetary relief",1,0
2015-04-22,Mortgage,"Conventional fixed mortgage",Ocwen,NC,28129,"Consent not provided",Web,"Closed with explanation",1,0
2014-09-12,"Credit reporting",,Equifax,PR,911,,Web,"Closed with explanation",1,0
2016-08-25,"Debt collection",Medical,"FMS Inc.",WA,983XX,"Consent provided",Web,"Closed with explanation",1,0
2014-06-27,"Debt collection",Medical,"Commonwealth Financial Systems, Inc.",AL,35235,,Web,"Closed with explanation",1,0
2016-02-02,Mortgage,"Conventional fixed mortgage","Altisource Portfolio Solutions, S.? r.l.",TX,760XX,"Consent provided",Web,"Closed with explanation",1,0
2013-07-26,Mortgage,"Other mortgage","Bank of America",KS,67207,,Referral,"Closed with explanation",1,0
2014-07-16,Mortgage,"Other mortgage","JPMorgan Chase & Co.",MD,21643,,Referral,"Closed with explanation",1,0
2016-09-06,Mortgage,"Conventional fixed mortgage",Citibank,FL,330XX,"Consent provided",Web,"Closed with explanation",1,0
2012-07-09,Mortgage,"Other mortgage","Bank of America",NY,10459,,Referral,"Closed with explanation",1,0
2015-07-01,"Credit reporting",,Experian,MA,021XX,"Consent provided",Web,"Closed with explanation",1,1
2015-05-06,Mortgage,"Conventional fixed mortgage","Nationstar Mortgage",LA,70805,,Phone,"Closed with explanation",1,0
2014-06-27,"Debt collection","Other (i.e. phone, health club, etc.)","Nations Recovery Center",NC,28269,,Web,"Closed with non-monetary relief",1,0
2016-02-18,"Credit card",,"Synchrony Financial",CA,92683,,Referral,"Closed with explanation",1,0
2016-05-13,Mortgage,"Conventional adjustable mortgage (ARM)","Servis One, Inc.",CA,950XX,"Consent provided",Web,"Closed with explanation",1,0
2015-07-20,"Credit reporting",,Equifax,TX,752XX,"Consent provided",Web,"Closed with explanation",1,0
2016-02-07,"Bank account or service","Checking account","TD Bank US Holding Company",PA,191XX,"Consent provided",Web,"Closed with monetary relief",1,0
2013-07-23,"Debt collection","I do not know",Citibank,NY,10901,,Phone,"Closed with explanation",1,0
2016-07-26,"Credit reporting",,Equifax,NY,10462,,"Postal mail","Closed with explanation",1,0
2014-11-08,"Debt collection","I do not know","Encore Capital Group",NM,87701,,Web,"Closed with explanation",1,0
2012-04-17,Mortgage,"Other mortgage","JPMorgan Chase & Co.",NJ,7307,,Web,"Closed without relief",1,0
2016-09-30,"Debt collection","I do not know","Capital Management Services, LP",FL,33409,,"Postal mail","Closed with explanation",1,0
2016-12-19,"Debt collection","Other (i.e. phone, health club, etc.)","CCS Financial Services, Inc.",NJ,7852,,Fax,"Closed with explanation",1,
2015-07-26,"Debt collection","Other (i.e. phone, health club, etc.)","FAIR COLLECTIONS & OUTSOURCING, INC.",FL,33709,"Consent not provided",Web,"Closed with explanation",1,0
2013-07-10,Mortgage,"Other mortgage","Wells Fargo & Company",MN,55128,,Referral,"Closed with explanation",1,0
2015-08-02,"Credit card",,"TD Bank US Holding Company",CA,952XX,"Consent provided",Web,"Closed with monetary relief",1,0
2015-01-07,"Credit reporting",,Equifax,KY,41041,,Web,"Closed with explanation",1,0
2015-01-27,Mortgage,"Other mortgage","Select Portfolio Servicing, Inc",NY,10603,,Referral,"Closed with explanation",1,0
2015-09-01,"Credit card",,Citibank,CA,92630,"Consent not provided",Web,"Closed with explanation",1,0
2016-01-14,"Bank account or service","Checking account","USAA Savings",WA,986XX,"Consent provided",Web,"Closed with non-monetary relief",1,1
2014-10-31,Mortgage,"Home equity loan or line of credit","Ditech Financial LLC",IL,60438,,Web,"Closed with explanation",1,0
2015-11-06,"Credit reporting",,Experian,NY,11229,"Consent not provided",Web,"Closed with non-monetary relief",1,0
2016-02-26,Mortgage,"Conventional fixed mortgage","Quicken Loans",NC,282XX,"Consent provided",Web,"Closed with explanation",1,1
2012-06-01,Mortgage,"Other mortgage","M&T Bank Corporation",MD,20746,,Referral,"Closed with explanation",1,0
2015-12-03,Mortgage,"Conventional fixed mortgage","Residential Credit Solutions",TX,786XX,"Consent provided",Web,"Closed with explanation",1,0
2015-09-04,"Credit card",,"Wells Fargo & Company",FL,33971,,Phone,"Closed with explanation",1,0
2016-09-26,Mortgage,"Other mortgage","HSBC North America Holdings Inc.",NJ,7751,,Referral,"Closed with explanation",0,0
2014-02-28,Mortgage,"Other mortgage","Wells Fargo & Company",FL,33301,,Web,"Closed with explanation",1,0
2016-10-29,"Credit reporting",,"TransUnion Intermediate Holdings, Inc.",FL,33417,"Consent not provided",Web,"Closed with explanation",1,0
2013-11-06,Mortgage,"Other mortgage","PNC Bank N.A.",NV,89143,,"Postal mail","Closed with explanation",1,0
2013-08-01,"Bank account or service","Checking account","Citizens Financial Group, Inc.",MA,2043,,Phone,"Closed with monetary relief",1,0
2015-02-19,"Credit card",,"Capital One",NY,10001,,Referral,"Closed with explanation",1,0
2012-05-08,"Credit card",,Citibank,NV,89130,,Web,"Closed without relief",1,0
2015-04-03,"Debt collection","I do not know","Alorica Inc.",TX,761XX,"Consent provided",Web,"Closed with explanation",0,0
2015-08-31,Mortgage,"Other mortgage","Nationstar Mortgage",TN,38544,,Phone,"Closed with explanation",1,1
2013-10-16,Mortgage,"Other mortgage","Bank of America",NJ,7405,,Web,"Closed with explanation",1,0
2014-02-21,"Debt collection","Payday loan","Delbert Services",MT,59901,,Web,"Closed with explanation",1,1
2015-08-17,"Bank account or service","Checking account","Regions Financial Corporation",LA,70094,,Referral,"Closed with monetary relief",1,0
2015-02-18,Mortgage,"Other mortgage",Citibank,TN,38261,,Referral,"Closed with explanation",1,0
2012-10-12,"Credit card",,"JPMorgan Chase & Co.",VA,22920,,Web,"Closed with explanation",1,0
2015-08-12,Mortgage,"FHA mortgage","Wells Fargo & Company",SC,297XX,"Consent provided",Web,"Closed with explanation",1,0
2016-06-17,"Bank account or service","Other bank product/service","Wells Fargo & Company",UT,841XX,"Consent provided",Web,"Closed with explanation",1,0
2015-03-24,Mortgage,"Conventional fixed mortgage",Ocwen,CO,802XX,Other,Web,"Closed with explanation",1,1
2015-09-14,"Credit reporting",,Equifax,FL,347XX,"Consent provided",Web,"Closed with explanation",1,1
2013-01-31,Mortgage,"Other mortgage","Flagstar Bank",NJ,8232,,Referral,"Closed with non-monetary relief",1,0
2015-02-13,Mortgage,"Home equity loan or line of credit",Citibank,MN,55409,,Web,"Closed with explanation",1,0
2013-05-09,Mortgage,"Conventional fixed mortgage","Bank of America",FL,32034,,Web,"Closed with explanation",1,0
2015-02-19,"Credit card",,"Barclays PLC",CA,92117,,Phone,"Closed with monetary relief",1,1
2015-02-20,"Debt collection",Medical,"Mid Continent Credit Services, Inc",KS,67050,,Web,"Closed with explanation",1,0
2013-01-28,Mortgage,"Conventional fixed mortgage","Nationstar Mortgage",AZ,86314,,Web,"Closed with explanation",1,1
2015-08-02,Mortgage,"Conventional fixed mortgage","Shellpoint Partners, LLC",CA,90016,"Consent not provided",Web,"Closed with explanation",1,0
2014-10-07,"Credit card",,Citibank,VA,24019,,Web,"Closed with monetary relief",1,0
2012-02-22,"Credit card",,"Capital One",VA,22315,,Web,"Closed without relief",1,1
2015-11-26,"Credit reporting",,Equifax,WI,549XX,"Consent provided",Web,"Closed with non-monetary relief",1,0
2013-07-16,Mortgage,"Other mortgage","JPMorgan Chase & Co.",MO,63051,,Referral,"Closed with explanation",1,1
2016-11-27,"Debt collection","Other (i.e. phone, health club, etc.)","Bank of America",NY,11411,"Consent not provided",Web,"Closed with non-monetary relief",1,
2015-05-19,"Debt collection",Mortgage,"Select Portfolio Servicing, Inc",CA,941XX,"Consent provided",Web,"Closed with explanation",1,0
2015-12-17,"Bank account or service","Checking account","Bank of America",MA,021XX,"Consent provided",Web,"Closed with explanation",1,1
2015-09-04,Mortgage,"Conventional adjustable mortgage (ARM)",Ocwen,CA,92557,,Phone,"Closed with explanation",1,0
2016-11-30,"Bank account or service","Checking account","PNC Bank N.A.",NC,278XX,"Consent provided",Web,"Closed with explanation",1,
2012-12-11,Mortgage,"Other mortgage","Bank of America",NJ,7106,,"Postal mail","Closed with explanation",1,0
2015-03-24,"Debt collection",Auto,"Accelerated Financial Solutions, LLC",NV,891XX,"Consent provided",Web,"Closed with explanation",1,1
2014-01-17,"Debt collection","I do not know","Viking Client Services, Inc.",TX,76116,,Web,"Closed with explanation",1,0
2012-01-02,"Credit card",,Citibank,HI,96822,,Web,"Closed with relief",1,0
2016-07-16,"Credit reporting",,"TransUnion Intermediate Holdings, Inc.",CA,91709,"Consent not provided",Web,"Closed with explanation",1,0
2016-02-03,"Credit card",,"Bank of America",OH,10467,,Phone,"Closed with explanation",1,0
2014-09-12,Mortgage,"Conventional fixed mortgage","Quicken Loans",GA,30350,,Web,"Closed with explanation",1,1
2013-10-20,"Debt collection","Other (i.e. phone, health club, etc.)","Encore Capital Group",SC,29210,,Web,"Closed with explanation",1,0
2014-01-21,"Debt collection","I do not know","Cavalry Investments, LLC",TX,75075,,"Postal mail","Closed with explanation",1,0
2016-02-04,"Credit card",,"Synchrony Financial",MI,48103,,Referral,"Closed with explanation",1,0
2012-12-15,Mortgage,"Conventional fixed mortgage",Citibank,CA,93940,,Web,"Closed with explanation",1,0
2014-03-03,"Credit reporting",,Equifax,CA,90065,,Web,"Closed with explanation",1,0
2016-05-10,"Debt collection","Federal student loan",Nelnet,ME,042XX,"Consent provided",Web,"Closed with explanation",1,0
2014-12-19,"Credit reporting",,"TransUnion Intermediate Holdings, Inc.",NY,11365,,Fax,"Closed with explanation",1,0
2013-02-07,Mortgage,"Conventional fixed mortgage","Bank of America",CA,91324,,Web,"Closed with non-monetary relief",1,0
2015-01-22,"Credit card",,"Capital One",UT,84020,,Web,"Closed with explanation",1,0
2012-03-14,"Bank account or service","Checking account","Wells Fargo & Company",CA,90066,,Phone,"Closed without relief",1,0
2014-03-18,"Debt collection","I do not know","The CBE Group, Inc.",WI,53154,,Web,"Closed with explanation",1,0
2014-07-26,"Credit card",,Amex,GA,30327,,Web,"Closed with explanation",1,0
2015-07-19,"Credit reporting",,Equifax,OH,442XX,"Consent provided",Web,"Closed with non-monetary relief",1,0
2016-01-17,"Credit reporting",,"TransUnion Intermediate Holdings, Inc.",MD,210XX,"Consent provided",Web,"Closed with non-monetary relief",1,0
2016-06-06,"Bank account or service","Checking account","JPMorgan Chase & Co.",FL,33150,,Referral,"Closed with monetary relief",1,0
2016-09-27,Mortgage,"Conventional adjustable mortgage (ARM)","Select Portfolio Servicing, Inc",FL,347XX,,Web,"Closed with explanation",1,0
2014-04-04,Mortgage,"Other mortgage","JPMorgan Chase & Co.",HI,96793,,"Postal mail","Closed with explanation",1,1
2014-08-29,"Credit card",,KeyCorp,NY,12202,,Phone,"Closed with non-monetary relief",1,0
2015-05-12,"Bank account or service","Checking account","Bank of America",MO,641XX,"Consent provided",Web,"Closed with monetary relief",1,0
2016-09-07,Mortgage,"Conventional fixed mortgage","Millenium Home Mortgage",NY,100XX,"Consent provided",Web,"Closed with explanation",0,0
2016-06-21,"Credit card",,Amex,GA,300XX,"Consent provided",Web,"Closed with explanation",1,0
2012-12-12,"Credit card",,"First National Bank of Omaha",AZ,85204,,"Postal mail","Closed with explanation",1,0
2015-03-30,Mortgage,"Other mortgage","Bank of America",TX,750XX,"Consent provided",Web,"Closed with explanation",1,0
2015-04-23,Mortgage,"Conventional adjustable mortgage (ARM)","Specialized Loan Servicing LLC",GA,303XX,"Consent provided",Web,"Closed with explanation",1,0
2012-05-20,Mortgage,"Conventional fixed mortgage","Wells Fargo & Company",VA,22101,,Referral,"Closed with explanation",1,1
2015-07-01,"Credit reporting",,Experian,GA,300XX,"Consent provided",Web,"Closed with non-monetary relief",1,0
2014-10-03,"Credit reporting",,Experian,TX,75002,,Referral,"Closed with explanation",1,0
2015-08-18,"Debt collection",Medical,"Debt Management Incorporated",MA,2043,,"Postal mail","Closed with explanation",1,0
2016-12-19,"Credit reporting",,Experian,FL,337XX,"Consent provided",Web,"Closed with non-monetary relief",1,
2014-06-13,Mortgage,"Other mortgage","Ditech Financial LLC",NY,10941,,Web,"Closed with explanation",1,0
2014-10-22,Mortgage,"Other mortgage","PrimeLending, A PlainsCapital Company",TN,38128,,Referral,"Closed with monetary relief",1,0
2014-11-12,"Bank account or service","Savings account","Bank of America",NY,10463,,Referral,"Closed with explanation",1,1
2015-10-07,"Bank account or service","Checking account","Wells Fargo & Company",DC,20020,,Phone,"Closed with monetary relief",1,0
2016-08-05,Mortgage,"FHA mortgage","BB&T Financial",NC,27028,"Consent not provided",Web,"Closed with explanation",1,0
2012-02-02,Mortgage,"Conventional fixed mortgage",Ocwen,FL,32811,,Web,"Closed without relief",0,1
2016-01-24,"Credit card",,"Synchrony Financial",NE,68135,"Consent not provided",Web,"Closed with explanation",1,0
2012-07-27,"Bank account or service","Other bank product/service","JPMorgan Chase & Co.",TX,79928,,Phone,"Closed with explanation",1,0
2014-08-09,"Credit card",,Discover,FL,33309,,Web,"Closed with explanation",1,0
2013-01-11,"Credit card",,"Synovus Bank",MN,55379,,Phone,"Closed with explanation",1,0
2016-07-06,"Bank account or service","Checking account","BBVA Compass",TX,785XX,"Consent provided",Web,"Closed with monetary relief",1,0
2013-09-03,Mortgage,"Other mortgage","Wells Fargo & Company",CA,91381,,Referral,"Closed with explanation",1,1
